Código,Familia,Materia,Analfabeta,Básica,Media,Superior ,Sin información,sexo
5001,DELITOS TRIBUTARIOS,Delitos que contempla el Código Tributario,0,1,1,0,0,Hombres
5002,DELITOS TRIBUTARIOS,Comercio clandestino,0,0,9,0,0,Hombres
7001,TRÁFICO ILÍCITO DE ESTUPEFACIENTES Y SUSTANCIAS SICOTRÓPICAS,Elaboración ilegal de drogas o sustancias sicotrópicas,0,1,16,1,1,Hombres
7006,TRÁFICO ILÍCITO DE ESTUPEFACIENTES Y SUSTANCIAS SICOTRÓPICAS,Cultivo/cosecha de especies vegetales productoras de estupefacientes,2,56,319,35,17,Hombres
7007,TRÁFICO ILÍCITO DE ESTUPEFACIENTES Y SUSTANCIAS SICOTRÓPICAS,Tráfico ilícito de drogas,6,336,2845,152,172,Hombres
7014,TRÁFICO ILÍCITO DE ESTUPEFACIENTES Y SUSTANCIAS SICOTRÓPICAS,Asociaciones ilícitas Ley de drogas,0,0,4,1,0,Hombres
7031,TRÁFICO ILÍCITO DE ESTUPEFACIENTES Y SUSTANCIAS SICOTRÓPICAS,Producción y tráfico por desvío de precursores,0,2,10,0,0,Hombres
7032,TRÁFICO ILÍCITO DE ESTUPEFACIENTES Y SUSTANCIAS SICOTRÓPICAS,Suministro indebido de drogas,0,0,1,0,0,Hombres
7033,TRÁFICO ILÍCITO DE ESTUPEFACIENTES Y SUSTANCIAS SICOTRÓPICAS,"Prescripción médica abusiva de drogas, estupefacientes o sicotrópicas",0,0,0,0,0,Hombres
7037,TRÁFICO ILÍCITO DE ESTUPEFACIENTES Y SUSTANCIAS SICOTRÓPICAS,Microtráfico (tráfico de pequeñas cantidades),10,966,6185,276,629,Hombres
7043,TRÁFICO ILÍCITO DE ESTUPEFACIENTES Y SUSTANCIAS SICOTRÓPICAS,Tolerancia al tráfico o consumo de drogas,0,0,2,0,0,Hombres
7044,TRÁFICO ILÍCITO DE ESTUPEFACIENTES Y SUSTANCIAS SICOTRÓPICAS,Tráfico de especies vegetales,0,1,30,1,16,Hombres
7046,TRÁFICO ILÍCITO DE ESTUPEFACIENTES Y SUSTANCIAS SICOTRÓPICAS,Delitos cometidos por personal militar y gente de mar,0,0,1,0,0,Hombres
7047,TRÁFICO ILÍCITO DE ESTUPEFACIENTES Y SUSTANCIAS SICOTRÓPICAS,Conspiración de Ley 20.000 ,0,3,37,1,8,Hombres
7050,TRÁFICO ILÍCITO DE ESTUPEFACIENTES Y SUSTANCIAS SICOTRÓPICAS,Uso malicioso de identidad anterior,0,1,0,0,0,Hombres
7053,TRÁFICO ILÍCITO DE ESTUPEFACIENTES Y SUSTANCIAS SICOTRÓPICAS,"Abandonar en lugar de fácil acceso plantas, semillas u otras",0,0,1,0,0,Hombres
7054,TRÁFICO ILÍCITO DE ESTUPEFACIENTES Y SUSTANCIAS SICOTRÓPICAS,Suministro de estupefacientes sin consentimiento,0,0,1,0,0,Hombres
7099,TRÁFICO ILÍCITO DE ESTUPEFACIENTES Y SUSTANCIAS SICOTRÓPICAS,Otros delitos de la Ley 20.000,1,125,908,52,146,Hombres
8003,PROPIEDAD Y PRIVILEGIOS INDUSTRIALES,Demás delitos contra Ley de Propiedad Industrial,0,20,155,7,6,Hombres
9002,PROPIEDAD INTELECTUAL,Falsificación de obras protegidas por Ley de Propiedad Intelectual,0,1,1,1,0,Hombres
9003,PROPIEDAD INTELECTUAL,Venta ilícita de obras protegidas por Ley de Propiedad Intelectual,0,1,8,0,0,Hombres
9099,PROPIEDAD INTELECTUAL,Demás delitos contemplados en la Ley de Propiedad Intelectual,0,1,31,9,5,Hombres
10001,CONTROL DE ARMAS. LEY 17.798; LEY 21.250,"Posesión, tenencia o porte de armas sujetas a control",2,95,396,11,40,Hombres
10008,CONTROL DE ARMAS. LEY 17.798; LEY 21.250,Porte de arma prohibida,0,48,195,4,36,Hombres
10009,CONTROL DE ARMAS. LEY 17.798; LEY 21.250,Posesión o tenencia de armas prohibidas,0,15,96,4,8,Hombres
10010,CONTROL DE ARMAS. LEY 17.798; LEY 21.250,Tráfico de armas,0,0,4,0,0,Hombres
10013,CONTROL DE ARMAS. LEY 17.798; LEY 21.250,"Posesión o tenencia de armas de guerra, química, biológica o nuclear",0,0,1,0,0,Hombres
10016,CONTROL DE ARMAS. LEY 17.798; LEY 21.250,Disparos injustificados en la vía pública,0,9,42,3,8,Hombres
10037,CONTROL DE ARMAS. LEY 17.798; LEY 21.250,"Accionar fuegos artificiales, pirotécnicos o similares sin autorización",0,2,34,3,3,Hombres
10038,CONTROL DE ARMAS. LEY 17.798; LEY 21.250,Posesión de fuegos artificiales,0,11,91,8,11,Hombres
10099,CONTROL DE ARMAS. LEY 17.798; LEY 21.250,Otros delitos de la Ley de Control de Armas,1,304,1698,94,248,Hombres
11004,LEY ORGÁNICA DE INVESTIGACIONES,Amenazar simple o condicionalmente u ofender públicamente a personal de la Policía de Investigaciones,0,1,12,0,2,Hombres
11005,LEY ORGÁNICA DE INVESTIGACIONES,"Falsificación de placas, tarjetas, timbres y sellos de Investigaciones",0,0,20,5,1,Hombres
11102,LEY ORGÁNICA DE GENDARMERÍA,Maltrato de obra a gendarme en el desempeño de sus funciones,0,1,3,0,0,Hombres
11103,LEY ORGÁNICA DE GENDARMERÍA,Amenaza a gendarme en el desempeño de sus funciones,0,1,6,0,1,Hombres
11104,LEY ORGÁNICA DE GENDARMERÍA,Ingreso ilegítimo de aparatos de comunicaciones y tecnológicos a centros penitenciarios,0,2,12,2,0,Hombres
12072,LEY DE TRÁNSITO,Falsificación de licencia de conducir y otras falsificaciones,3,51,334,36,25,Hombres
12073,LEY DE TRÁNSITO,Accidente con resultado de muerte o lesiones graves,3,139,1487,393,96,Hombres
12074,LEY DE TRÁNSITO,Conducción sin la licencia debida,2,741,5535,454,277,Hombres
12077,LEY DE TRÁNSITO,No dar cuenta de accidente de tránsito,0,2,34,11,1,Hombres
12078,LEY DE TRÁNSITO,Conducción bajo la influencia del alcohol con o sin daños o lesiones leves,0,138,1698,425,160,Hombres
12079,LEY DE TRÁNSITO,Conducción bajo la influencia del alcohol causando lesiones menos graves,0,5,36,3,5,Hombres
12184,LEY DE TRÁNSITO,Conducción bajo la influencia del alcohol causando lesiones graves gravísimas,0,5,85,21,13,Hombres
12185,LEY DE TRÁNSITO,Conducción bajo la influencia del alcohol causando muerte,0,3,12,1,0,Hombres
14004,LEY DE TRÁNSITO,Conducción estado de ebriedad con suspensión de licencia,0,61,328,57,13,Hombres
14005,LEY DE TRÁNSITO,Negativa a efectuarse examen,0,0,3,1,4,Hombres
14006,LEY DE TRÁNSITO,Conducción estado ebriedad con resultado de muerte,0,9,50,13,5,Hombres
14007,LEY DE TRÁNSITO,Conducción estado ebriedad con resultado de lesiones graves gravísimas,0,8,92,10,7,Hombres
14008,LEY DE TRÁNSITO,Conducción estado de ebriedad con resultado de lesiones graves,1,58,375,55,33,Hombres
14009,LEY DE TRÁNSITO,Conducción estado ebriedad con resultado de lesiones menos graves,0,31,238,33,20,Hombres
14020,LEY DE TRÁNSITO,Cuasidelito vehículo motorizado,0,34,613,142,95,Hombres
14021,LEY DE TRÁNSITO,Marcharse del sitio del suceso sin prestar auxilio a la víctima,0,2,38,8,1,Hombres
14022,LEY DE TRÁNSITO,Ocultamiento de placa patente,0,73,1588,233,302,Hombres
14052,LEY DE TRÁNSITO,Conducción estado de ebriedad con o sin daños o lesiones leves,14,1727,12947,2682,857,Hombres
14056,LEY DE TRÁNSITO,Atentado a vehículo motorizado en circulación con objeto contundente u otro semejante,0,5,11,0,2,Hombres
14057,LEY DE TRÁNSITO,Conducir vehículo durante la vigencia de alguna sanción impuesta,0,94,467,77,10,Hombres
14060,LEY DE TRÁNSITO,Otros delitos contra la Ley de tránsito,1,87,1249,249,103,Hombres
14066,LEY DE TRÁNSITO,Lesionar o amenazar a fiscalizador de transportes,0,1,0,0,0,Hombres
14087,LEY DE TRÁNSITO,Conducción en carreras no autorizadas con o sin daños o lesiones leves,0,2,9,2,2,Hombres
14089,LEY DE TRÁNSITO,Conducción en carreras no autorizadas causando lesiones gravísimas o la muerte ,0,0,1,0,0,Hombres
14090,LEY DE TRÁNSITO,Organizar carreras no autorizadas,0,1,6,0,0,Hombres
14091,LEY DE TRÁNSITO,Facilitar vehículos motorizados para la participación en carreras clandestinas,0,0,5,0,0,Hombres
14092,LEY DE TRÁNSITO,Sobrepasar en 60 km/h los límites fijados de velocidad máxima,0,4,85,53,6,Hombres
12010,INFRACCIÓN A OTROS TEXTOS LEGALES,Infracción Ley Mataderos Clandestinos,0,4,8,2,3,Hombres
12022,INFRACCIÓN A OTROS TEXTOS LEGALES,Otras infracciones Ley de Pesca,0,9,36,11,0,Hombres
12023,INFRACCIÓN A OTROS TEXTOS LEGALES,Pesca ilegal,0,7,20,4,1,Hombres
12031,INFRACCIÓN A OTROS TEXTOS LEGALES,Falsificación de billetes,0,4,27,3,3,Hombres
12032,INFRACCIÓN A OTROS TEXTOS LEGALES,Otras infracciones a la Ley del Banco Central,0,0,2,0,0,Hombres
12051,INFRACCIÓN A OTROS TEXTOS LEGALES,Contrabando. Infracción a la Ordenanza de Aduanas,5,216,1250,48,117,Hombres
12052,INFRACCIÓN A OTROS TEXTOS LEGALES,Fraude aduanero. Infracción a la Ordenanza de Aduanas,0,1,27,3,7,Hombres
12053,INFRACCIÓN A OTROS TEXTOS LEGALES,Receptación aduanera. Infracción a la Ordenanza de Aduanas,0,12,104,3,1,Hombres
12054,INFRACCIÓN A OTROS TEXTOS LEGALES,Otras infracciones a la Ordenanza de Aduanas,0,21,140,2,10,Hombres
12055,INFRACCIÓN A OTROS TEXTOS LEGALES,Contrabando de especies exóticas,0,0,3,0,0,Hombres
12081,INFRACCIÓN A OTROS TEXTOS LEGALES,Maltrato de obra a carabineros ,5,144,837,50,105,Hombres
12082,INFRACCIÓN A OTROS TEXTOS LEGALES,Amenazas a carabineros,2,283,1080,43,182,Hombres
12086,INFRACCIÓN A OTROS TEXTOS LEGALES,"Matar a carabinero en ejercicio de sus funciones, Código Justicia Militar",0,0,2,1,0,Hombres
12087,INFRACCIÓN A OTROS TEXTOS LEGALES,"Traición, espionaje y demás delitos contra la soberanía y seguridad exterior del Estado",0,1,0,0,0,Hombres
12088,INFRACCIÓN A OTROS TEXTOS LEGALES,Uso de uniforme o insignias de Fuerzas Armadas o Carabineros de Chile,0,0,0,1,0,Hombres
12089,INFRACCIÓN A OTROS TEXTOS LEGALES,Otras infracciones al Código Justicia Militar,0,1,32,3,3,Hombres
12123,INFRACCIÓN A OTROS TEXTOS LEGALES,Robo o hurto de material de guerra,0,0,0,0,0,Hombres
12132,INFRACCIÓN A OTROS TEXTOS LEGALES,Infracción Ley General de Telecomunicaciones,0,0,10,1,0,Hombres
12133,INFRACCIÓN A OTROS TEXTOS LEGALES,Lavado de dinero persona natural,0,0,2,0,0,Hombres
12136,INFRACCIÓN A OTROS TEXTOS LEGALES,Enseñanza no autorizada de artes marciales,0,0,7,3,1,Hombres
12137,INFRACCIÓN A OTROS TEXTOS LEGALES,Corte o destrucción de árboles o arbustos Ley de Bosques,0,6,7,0,0,Hombres
12138,INFRACCIÓN A OTROS TEXTOS LEGALES,Caza y comercialización de especies prohibidas,0,0,7,0,0,Hombres
12139,INFRACCIÓN A OTROS TEXTOS LEGALES,Infracciones al Código Aeronáutico,0,0,13,3,0,Hombres
12143,INFRACCIÓN A OTROS TEXTOS LEGALES,Transporte o distribución de gas e instalaciones clandestinas,0,0,0,1,0,Hombres
12144,INFRACCIÓN A OTROS TEXTOS LEGALES,Interrupción de servicio eléctrico,0,0,1,0,0,Hombres
12146,INFRACCIÓN A OTROS TEXTOS LEGALES,Infracción a la Ley Orgánica Constitucional sobre votaciones populares y escrutinios,0,3,13,9,3,Hombres
12149,INFRACCIÓN A OTROS TEXTOS LEGALES,Desacato,29,1877,4039,243,406,Hombres
12150,INFRACCIÓN A OTROS TEXTOS LEGALES,Uso ilícito del fuego,0,2,9,2,0,Hombres
12151,INFRACCIÓN A OTROS TEXTOS LEGALES,Uso fraudulento de tarjetas o medios de pago,0,2,15,2,0,Hombres
12157,INFRACCIÓN A OTROS TEXTOS LEGALES,Obstrucción a la justicia con ocasión de tratamiento de ADN,0,0,3,0,0,Hombres
12159,INFRACCIÓN A OTROS TEXTOS LEGALES,Delitos contenidos en Leyes de Prenda Especiales,0,1,0,0,0,Hombres
12163,INFRACCIÓN A OTROS TEXTOS LEGALES,Delitos relativos al pago de pensiones alimenticias,0,14,64,4,2,Hombres
12170,INFRACCIÓN A OTROS TEXTOS LEGALES,Delitos contra la Ley de Bosque Nativo,0,7,2,1,0,Hombres
12171,INFRACCIÓN A OTROS TEXTOS LEGALES,"Fabricación, acopio o comercialización de hilo curado",0,0,2,0,0,Hombres
12172,INFRACCIÓN A OTROS TEXTOS LEGALES,"Uso, facilitación o transporte de hilo curado",0,0,5,0,0,Hombres
12182,INFRACCIÓN A OTROS TEXTOS LEGALES,Daños a monumentos nacionales,0,0,11,2,0,Hombres
12187,INFRACCIÓN A OTROS TEXTOS LEGALES,Fraudes en transacciones electrónicas,0,0,0,0,0,Hombres
12999,INFRACCIÓN A OTROS TEXTOS LEGALES,Delitos contemplados en otros textos legales,4,92,147,41,9,Hombres
13049,INFRACCIÓN A OTROS TEXTOS LEGALES,Obstrucción a la investigación de delito o infracción de la Ley de violencia en los estadios,0,0,1,2,0,Hombres
13051,INFRACCIÓN A OTROS TEXTOS LEGALES,Otros delitos sobre Ley sobre violencia en los estadios,0,2,54,7,9,Hombres
15007,INFRACCIÓN A OTROS TEXTOS LEGALES,Delitos de la Ley de seguridad interior del Estado contra el orden público y la normalidad de las actividades nacionales,0,0,3,0,0,Hombres
16403,INFRACCIÓN A OTROS TEXTOS LEGALES,Asociación ilícita para ejercer el comercio ilegal,0,0,0,0,0,Hombres
22412,INFRACCIÓN A OTROS TEXTOS LEGALES,Tráfico de residuos peligrosos,0,1,6,0,0,Hombres
22600,INFRACCIÓN A OTROS TEXTOS LEGALES,Desatender el llamado a reclutamiento,0,0,1,0,0,Hombres
23300,INFRACCIÓN A OTROS TEXTOS LEGALES,Infracciones a la Ley sobre Juzgado de Policía Local,0,0,1,0,0,Hombres
23785,INFRACCIÓN A OTROS TEXTOS LEGALES,Homicidio a funcionario de las fuerzas armadas en desempeño de funciones de resguardo de la seguridad pública,0,0,3,0,0,Hombres
23900,SISTEMAS DE INSCRIPCIONES ELECTORALES Y SERVICIO ELECTORAL,Infracciones a la Ley orgánica constitucional sobre sistemas de inscripciones electorales y servicio electoral,0,0,11,4,0,Hombres
20003,CONDUCTAS TERRORISTAS,Atentado contra Jefe de Estado o autoridad pública,0,4,24,2,3,Hombres
20004,CONDUCTAS TERRORISTAS,Atentado explosivo o incendiario,0,1,13,1,1,Hombres
21002,LIBERTAD DE OPINIÓN E INFORMACIÓN,Ultraje público a las buenas costumbres por medios de comunicación social,0,0,0,1,0,Hombres
21099,LIBERTAD DE OPINIÓN E INFORMACIÓN,Otras faltas y delitos de la Ley 19.733,0,0,1,0,0,Hombres
22100,VIOLENCIA INTRAFAMILIAR,Maltrato habitual (violencia intrafamiliar),1,41,260,36,55,Hombres
22101,VIOLENCIA INTRAFAMILIAR,Incumplimiento reiterado de pago de pensión alimenticia,0,8,36,7,0,Hombres
22410,INFRACCIONES A LA LEY DE DEFENSA DE LA LIBRE COMPETENCIA,Ocultación o entrega de información falsa a Fiscalía Nacional Económica,0,1,3,0,0,Hombres
13021,FALTAS,Ofensas al pudor,1,15,63,10,9,Hombres
13023,FALTAS,Alterar el orden público,0,1,1,0,0,Hombres
13025,FALTAS,Dejar animales sueltos,0,0,0,1,0,Hombres
13026,FALTAS,Arrojamiento de piedras u otros objetos,0,4,7,0,1,Hombres
13027,FALTAS,Daño (falta),0,1,6,0,1,Hombres
13028,FALTAS,Hurto (falta),14,2428,12018,1040,1014,Hombres
13030,FALTAS,Amenaza con arma (falta),4,365,975,55,133,Hombres
13031,FALTAS,Falta de respeto a la autoridad pública,0,43,306,37,18,Hombres
13033,FALTAS,Riña pública,9,464,3818,475,333,Hombres
13035,FALTAS,Desórdenes en espectáculos públicos,0,1,9,2,0,Hombres
13052,FALTAS,Ocultación de identidad en control investigativo,0,76,275,19,29,Hombres
13053,FALTAS,Ocultación de identidad en control preventivo,0,172,713,37,104,Hombres
13097,FALTAS,Otras faltas Código Penal,0,26,119,17,8,Hombres
13100,FALTAS,Impedir ejercicio de funciones a inspectores municipales,0,0,3,0,1,Hombres
13101,FALTAS,Transporte de desechos a vertederos clandestinos,0,0,1,0,0,Hombres
13103,FALTAS,Perro potencialmente peligroso no inscrito,0,0,1,0,0,Hombres
7038,FALTAS TRÁFICO ILÍCITO DE ESTUPEFACIENTES Y SUSTANCIAS SICOTRÓPICAS,Consumo o porte en lugares públicos o privados con previo concierto,3,334,1997,183,109,Hombres
7039,FALTAS TRÁFICO ILÍCITO DE ESTUPEFACIENTES Y SUSTANCIAS SICOTRÓPICAS,Consumo o porte de drogas en lugares calificados,0,24,199,21,13,Hombres
18001,FALTAS SOBRE EXPENDIO Y CONSUMO DE BEBIDAS ALCOHÓLICAS,Expendio de bebidas alcohólicas a menores,0,0,9,3,0,Hombres
101,QUEBRANTAMIENTO DE SENTENCIA,Quebrantamiento,0,2,7,4,0,Mujeres
202,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Secuestro,0,2,7,0,1,Mujeres
203,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Sustracción de menores,0,0,2,0,1,Mujeres
204,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Violación de morada,0,53,218,34,24,Mujeres
205,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,"Apertura, registro o interceptación de correspondencia",0,0,0,0,0,Mujeres
207,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,"Detención, destierro o arresto irregular",0,1,1,1,0,Mujeres
216,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,"Usurpación de propiedad, descubrimiento o producción",0,0,17,3,4,Mujeres
221,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Delitos contra la vida y la privacidad de las conversaciones,0,0,1,1,0,Mujeres
225,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Torturas cometidas por funcionarios públicos,0,0,0,0,0,Mujeres
229,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,"Tortura con violación, abuso sexual agravado u otros",0,0,0,0,0,Mujeres
231,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Apremios ilegítimos cometidos por empleados públicos,0,0,1,0,0,Mujeres
235,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Secuestro con homicidio,0,0,0,0,0,Mujeres
236,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Secuestro con violación,0,0,0,0,0,Mujeres
237,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Secuestro con lesiones,0,4,2,0,2,Mujeres
248,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Secuestro con solicitud de rescate o exigencia o se prolongue por más de 24 hrs.,0,0,0,0,0,Mujeres
301,"CRÍMENES Y SIMPLES DELITOS CONTRA LA FE PÚBLICA, DE LAS FALSIFICACIONES, DEL FALSO TESTIMONIO Y DEL PERJURIO",Falsificación de moneda y otros,0,0,0,0,0,Mujeres
302,"CRÍMENES Y SIMPLES DELITOS CONTRA LA FE PÚBLICA, DE LAS FALSIFICACIONES, DEL FALSO TESTIMONIO Y DEL PERJURIO",Falsificación o uso malicioso de documentos públicos,0,15,137,35,15,Mujeres
303,"CRÍMENES Y SIMPLES DELITOS CONTRA LA FE PÚBLICA, DE LAS FALSIFICACIONES, DEL FALSO TESTIMONIO Y DEL PERJURIO",Falsificación o uso malicioso de documentos privados,0,0,5,2,1,Mujeres
306,"CRÍMENES Y SIMPLES DELITOS CONTRA LA FE PÚBLICA, DE LAS FALSIFICACIONES, DEL FALSO TESTIMONIO Y DEL PERJURIO","Falso testimonio, perjurio o denuncia calumniosa",0,0,1,1,0,Mujeres
308,"CRÍMENES Y SIMPLES DELITOS CONTRA LA FE PÚBLICA, DE LAS FALSIFICACIONES, DEL FALSO TESTIMONIO Y DEL PERJURIO",Ejercicio ilegal de la profesión,0,0,0,0,0,Mujeres
309,"CRÍMENES Y SIMPLES DELITOS CONTRA LA FE PÚBLICA, DE LAS FALSIFICACIONES, DEL FALSO TESTIMONIO Y DEL PERJURIO",Usurpación de nombre,1,22,73,3,12,Mujeres
310,"CRÍMENES Y SIMPLES DELITOS CONTRA LA FE PÚBLICA, DE LAS FALSIFICACIONES, DEL FALSO TESTIMONIO Y DEL PERJURIO",Fingimiento de cargos o profesiones,0,0,1,0,0,Mujeres
312,"CRÍMENES Y SIMPLES DELITOS CONTRA LA FE PÚBLICA, DE LAS FALSIFICACIONES, DEL FALSO TESTIMONIO Y DEL PERJURIO","Falsificación de certificados por funcionarios públicos, privados y uso malicioso",0,0,0,0,0,Mujeres
399,"CRÍMENES Y SIMPLES DELITOS CONTRA LA FE PÚBLICA, DE LAS FALSIFICACIONES, DEL FALSO TESTIMONIO Y DEL PERJURIO","Otros delitos contra la fe pública, de las falsificaciones, del falso testimonio y del perjurio",0,0,0,0,0,Mujeres
410,CRÍMENES Y SIMPLES DELITOS COMETIDOS POR EMPLEADOS PÚBLICOS EN EL DESEMPEÑO DE SUS CARGOS,Cohecho cometido por empleado público,0,0,0,2,1,Mujeres
411,CRÍMENES Y SIMPLES DELITOS COMETIDOS POR EMPLEADOS PÚBLICOS EN EL DESEMPEÑO DE SUS CARGOS,Cohecho o soborno cometido por particular,0,0,1,0,0,Mujeres
416,CRÍMENES Y SIMPLES DELITOS COMETIDOS POR EMPLEADOS PÚBLICOS EN EL DESEMPEÑO DE SUS CARGOS,Tráfico de influencias,0,0,0,0,0,Mujeres
420,CRÍMENES Y SIMPLES DELITOS COMETIDOS POR EMPLEADOS PÚBLICOS EN EL DESEMPEÑO DE SUS CARGOS,Abusos contra particulares,0,0,0,0,0,Mujeres
499,CRÍMENES Y SIMPLES DELITOS COMETIDOS POR EMPLEADOS PÚBLICOS EN EL DESEMPEÑO DE SUS CARGOS,Otros delitos cometidos por empleados públicos en el desempeño de sus cargos,0,0,0,0,0,Mujeres
501,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,Desórdenes públicos,1,42,127,20,17,Mujeres
502,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,Obstrucción a la investigación,0,0,6,0,1,Mujeres
503,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,Rotura de sellos,0,1,50,5,1,Mujeres
505,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,"Lotería ilegal, casas de juego y préstamo sobre prenda",0,4,10,0,0,Mujeres
509,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,Abandono o maltrato animal,0,2,22,3,0,Mujeres
510,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,Asociaciones ilícitas,0,0,3,1,0,Mujeres
512,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,Connivencia en la fuga y evasión culpable de detenidos,0,0,1,0,0,Mujeres
514,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,Infracción normas inhumaciones y exhumaciones,0,0,1,0,0,Mujeres
515,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,Atentados y amenazas contra la autoridad,0,11,71,3,9,Mujeres
516,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,Oponerse a la acción de la autoridad pública o sus agentes,1,14,78,15,5,Mujeres
518,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,Porte de arma cortante o punzante,0,38,139,5,24,Mujeres
519,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,"Falsa alarma de incendio, emergencia o calamidad pública",0,0,0,1,0,Mujeres
523,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,Amenaza a fiscales o defensores en el desempeño de sus funciones,0,1,0,0,0,Mujeres
524,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,Amenazas simples contra personas y propiedades,7,446,2132,324,241,Mujeres
525,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,Amenazas condicionales contra personas y propiedades,4,116,448,53,57,Mujeres
526,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,Contra la salud pública (art 313 A y 313 B),0,3,8,2,3,Mujeres
527,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,Contra la salud pública (art 313 D al 315 y art 317),0,0,10,0,6,Mujeres
530,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,Amenazas contra profesionales y funcionarios de salud y manipuladores de alimentos,0,1,5,1,2,Mujeres
531,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,Lesiones contra profesional y funcionario de salud y manipuladores de alimentos,0,5,9,2,2,Mujeres
532,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,Interrumpir libre circulación Ley 21.208,0,0,0,0,0,Mujeres
533,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,Lanzar objetos a la vía pública con muerte o lesiones Ley 21.208,0,1,6,0,1,Mujeres
535,CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,Infringir normas higiénicas y de salubridad,0,0,0,0,0,Mujeres
